iter	Passed	Remaining
0	31338	37575342
1	47837	28654745
2	57996	23140491
3	97416	29127560
4	116752	27903783
5	136407	27144995
6	167110	28480442
7	176869	26353553
8	190183	25167631
9	197699	23526206
10	200862	21711398
11	240698	23829118
12	253155	23115026
13	268239	22723714
14	276058	21808640
15	284245	21034199
16	292716	20369618
17	308516	20259237
18	315101	19586060
19	326459	19261088
20	343363	19277394
21	359758	19263417
22	388747	19893735
23	402709	19732778
24	435593	20472899
25	456233	20600677
26	467834	20324821
27	479915	20087875
28	487166	19671444
29	514410	20062011
30	546798	20619597
31	558788	20395782
32	576010	20369820
33	592572	20321738
34	640504	21319649
35	666168	21539460
36	673537	21170932
37	687218	21014431
38	711517	21181326
39	723417	20979107
40	733577	20736982
41	750198	20684056
42	756721	20361086
43	774696	20353394
44	785288	20155747
45	792434	19879780
46	813864	19965661
47	828830	19891922
48	837791	19679559
49	847218	19486030
50	860102	19377601
51	871580	19241812
52	878257	19006822
53	884732	18775981
54	899554	18727093
55	914945	18691024
56	928364	18616146
57	955270	18808951
58	987209	19091619
59	1000679	19012907
60	1031058	19252068
61	1073338	19700958
62	1081049	19510368
63	1087055	19295241
64	1096861	19152885
65	1143641	19649845
66	1168778	19764560
67	1191175	19829568
68	1217811	19961523
69	1273393	20556216
70	1290675	20523553
71	1308633	20501918
72	1328956	20516901
73	1347601	20505401
74	1362476	20437146
75	1377117	20366842
76	1400976	20432416
77	1421471	20447318
78	1457302	20678931
79	1494298	20920175
